id,name,base_experience,height,weight,types,abilities,moves,stats
1,bulbasaur,64,7,69,"grass, poison","overgrow, chlorophyll","razor-wind, swords-dance, cut, bind, vine-whip","hp=45, attack=49, defense=49, special-attack=65, special-defense=65, speed=45"
2,ivysaur,142,10,130,"grass, poison","overgrow, chlorophyll","swords-dance, cut, bind, vine-whip, headbutt","hp=60, attack=62, defense=63, special-attack=80, special-defense=80, speed=60"
3,venusaur,236,20,1000,"grass, poison","overgrow, chlorophyll","swords-dance, cut, bind, vine-whip, headbutt","hp=80, attack=82, defense=83, special-attack=100, special-defense=100, speed=80"
4,charmander,62,6,85,fire,"blaze, solar-power","mega-punch, fire-punch, thunder-punch, scratch, swords-dance","hp=39, attack=52, defense=43, special-attack=60, special-defense=50, speed=65"
5,charmeleon,142,11,190,fire,"blaze, solar-power","mega-punch, fire-punch, thunder-punch, scratch, swords-dance","hp=58, attack=64, defense=58, special-attack=80, special-defense=65, speed=80"
6,charizard,240,17,905,"fire, flying","blaze, solar-power","mega-punch, fire-punch, thunder-punch, scratch, swords-dance","hp=78, attack=84, defense=78, special-attack=109, special-defense=85, speed=100"
7,squirtle,63,5,90,water,"torrent, rain-dish","mega-punch, ice-punch, mega-kick, headbutt, tackle","hp=44, attack=48, defense=65, special-attack=50, special-defense=64, speed=43"
8,wartortle,142,10,225,water,"torrent, rain-dish","mega-punch, ice-punch, mega-kick, headbutt, tackle","hp=59, attack=63, defense=80, special-attack=65, special-defense=80, speed=58"
9,blastoise,239,16,855,water,"torrent, rain-dish","mega-punch, ice-punch, mega-kick, headbutt, tackle","hp=79, attack=83, defense=100, special-attack=85, special-defense=105, speed=78"
10,caterpie,39,3,29,bug,"shield-dust, run-away","tackle, string-shot, snore, bug-bite, electroweb","hp=45, attack=30, defense=35, special-attack=20, special-defense=20, speed=45"
11,metapod,72,7,99,bug,shed-skin,"string-shot, harden, iron-defense, bug-bite, electroweb","hp=50, attack=20, defense=55, special-attack=25, special-defense=25, speed=30"
12,butterfree,178,11,320,"bug, flying","compound-eyes, tinted-lens","razor-wind, gust, whirlwind, headbutt, tackle","hp=60, attack=45, defense=50, special-attack=90, special-defense=80, speed=70"
13,weedle,39,3,32,"bug, poison","shield-dust, run-away","poison-sting, string-shot, bug-bite, electroweb","hp=40, attack=35, defense=30, special-attack=20, special-defense=20, speed=50"
14,kakuna,72,6,100,"bug, poison",shed-skin,"string-shot, harden, iron-defense, bug-bite, electroweb","hp=45, attack=25, defense=50, special-attack=25, special-defense=25, speed=35"
15,beedrill,178,10,295,"bug, poison","swarm, sniper","swords-dance, cut, headbutt, fury-attack, take-down","hp=65, attack=90, defense=40, special-attack=45, special-defense=80, speed=75"
16,pidgey,50,3,18,"normal, flying","keen-eye, tangled-feet, big-pecks","razor-wind, gust, wing-attack, whirlwind, fly","hp=40, attack=45, defense=40, special-attack=35, special-defense=35, speed=56"
17,pidgeotto,122,11,300,"normal, flying","keen-eye, tangled-feet, big-pecks","razor-wind, gust, wing-attack, whirlwind, fly","hp=63, attack=60, defense=55, special-attack=50, special-defense=50, speed=71"
18,pidgeot,216,15,395,"normal, flying","keen-eye, tangled-feet, big-pecks","razor-wind, gust, wing-attack, whirlwind, fly","hp=83, attack=80, defense=75, special-attack=70, special-defense=70, speed=101"
19,rattata,51,3,35,normal,"run-away, guts, hustle","cut, headbutt, tackle, body-slam, take-down","hp=30, attack=56, defense=35, special-attack=25, special-defense=35, speed=72"
20,raticate,145,7,185,normal,"run-away, guts, hustle","swords-dance, cut, headbutt, tackle, body-slam","hp=55, attack=81, defense=60, special-attack=50, special-defense=70, speed=97"
21,spearow,52,3,20,"normal, flying","keen-eye, sniper","razor-wind, wing-attack, whirlwind, fly, headbutt","hp=40, attack=60, defense=30, special-attack=31, special-defense=31, speed=70"
22,fearow,155,12,380,"normal, flying","keen-eye, sniper","razor-wind, wing-attack, whirlwind, fly, headbutt","hp=65, attack=90, defense=65, special-attack=61, special-defense=61, speed=100"
23,ekans,58,20,69,poison,"intimidate, shed-skin, unnerve","bind, slam, headbutt, body-slam, wrap","hp=35, attack=60, defense=44, special-attack=40, special-defense=54, speed=55"
24,arbok,157,35,650,poison,"intimidate, shed-skin, unnerve","bind, slam, headbutt, body-slam, wrap","hp=60, attack=95, defense=69, special-attack=65, special-defense=79, speed=80"
25,pikachu,112,4,60,electric,"static, lightning-rod","mega-punch, pay-day, thunder-punch, slam, double-kick","hp=35, attack=55, defense=40, special-attack=50, special-defense=50, speed=90"
26,raichu,218,8,300,electric,"static, lightning-rod","mega-punch, pay-day, thunder-punch, slam, mega-kick","hp=60, attack=90, defense=55, special-attack=90, special-defense=80, speed=110"
27,sandshrew,60,6,120,ground,"sand-veil, sand-rush","scratch, swords-dance, cut, sand-attack, headbutt","hp=50, attack=75, defense=85, special-attack=20, special-defense=30, speed=40"
28,sandslash,158,10,295,ground,"sand-veil, sand-rush","scratch, swords-dance, cut, sand-attack, headbutt","hp=75, attack=100, defense=110, special-attack=45, special-defense=55, speed=65"
29,nidoran-f,55,4,70,poison,"poison-point, rivalry, hustle","scratch, cut, double-kick, headbutt, tackle","hp=55, attack=47, defense=52, special-attack=40, special-defense=40, speed=41"
30,nidorina,128,8,200,poison,"poison-point, rivalry, hustle","scratch, cut, double-kick, headbutt, horn-drill","hp=70, attack=62, defense=67, special-attack=55, special-defense=55, speed=56"
31,nidoqueen,227,13,600,"poison, ground","poison-point, rivalry, sheer-force","mega-punch, pay-day, fire-punch, ice-punch, thunder-punch","hp=90, attack=92, defense=87, special-attack=75, special-defense=85, speed=76"
32,nidoran-m,55,5,90,poison,"poison-point, rivalry, hustle","cut, double-kick, headbutt, horn-attack, fury-attack","hp=46, attack=57, defense=40, special-attack=40, special-defense=40, speed=50"
33,nidorino,128,9,195,poison,"poison-point, rivalry, hustle","cut, double-kick, headbutt, horn-attack, fury-attack","hp=61, attack=72, defense=57, special-attack=55, special-defense=55, speed=65"
34,nidoking,227,14,620,"poison, ground","poison-point, rivalry, sheer-force","mega-punch, pay-day, fire-punch, ice-punch, thunder-punch","hp=81, attack=102, defense=77, special-attack=85, special-defense=75, speed=85"
35,clefairy,113,6,75,fairy,"cute-charm, magic-guard, friend-guard","pound, double-slap, mega-punch, fire-punch, ice-punch","hp=70, attack=45, defense=48, special-attack=60, special-defense=65, speed=35"
36,clefable,217,13,400,fairy,"cute-charm, magic-guard, unaware","pound, double-slap, mega-punch, fire-punch, ice-punch","hp=95, attack=70, defense=73, special-attack=95, special-defense=90, speed=60"
37,vulpix,60,6,99,fire,"flash-fire, drought","headbutt, tackle, body-slam, take-down, double-edge","hp=38, attack=41, defense=40, special-attack=50, special-defense=65, speed=65"
38,ninetales,177,11,199,fire,"flash-fire, drought","headbutt, tackle, body-slam, take-down, double-edge","hp=73, attack=76, defense=75, special-attack=81, special-defense=100, speed=100"
39,jigglypuff,95,5,55,"normal, fairy","cute-charm, competitive, friend-guard","pound, double-slap, mega-punch, fire-punch, ice-punch","hp=115, attack=45, defense=20, special-attack=45, special-defense=25, speed=20"
40,wigglytuff,196,10,120,"normal, fairy","cute-charm, competitive, frisk","pound, double-slap, mega-punch, fire-punch, ice-punch","hp=140, attack=70, defense=45, special-attack=85, special-defense=50, speed=45"
41,zubat,49,8,75,"poison, flying","inner-focus, infiltrator","razor-wind, gust, wing-attack, whirlwind, fly","hp=40, attack=45, defense=35, special-attack=30, special-defense=40, speed=55"
42,golbat,159,16,550,"poison, flying","inner-focus, infiltrator","razor-wind, gust, wing-attack, whirlwind, fly","hp=75, attack=80, defense=70, special-attack=65, special-defense=75, speed=90"
43,oddish,64,5,54,"grass, poison","chlorophyll, run-away","swords-dance, cut, headbutt, take-down, double-edge","hp=45, attack=50, defense=55, special-attack=75, special-defense=65, speed=30"
44,gloom,138,8,86,"grass, poison","chlorophyll, stench","swords-dance, cut, headbutt, take-down, double-edge","hp=60, attack=65, defense=70, special-attack=85, special-defense=75, speed=40"
45,vileplume,221,12,186,"grass, poison","chlorophyll, effect-spore","swords-dance, cut, headbutt, body-slam, take-down","hp=75, attack=80, defense=85, special-attack=110, special-defense=90, speed=50"
46,paras,57,3,54,"bug, grass","effect-spore, dry-skin, damp","scratch, swords-dance, cut, headbutt, body-slam","hp=35, attack=70, defense=55, special-attack=45, special-defense=55, speed=25"
47,parasect,142,10,295,"bug, grass","effect-spore, dry-skin, damp","scratch, swords-dance, cut, headbutt, body-slam","hp=60, attack=95, defense=80, special-attack=60, special-defense=80, speed=30"
48,venonat,61,10,300,"bug, poison","compound-eyes, tinted-lens, run-away","headbutt, tackle, take-down, double-edge, supersonic","hp=60, attack=55, defense=50, special-attack=40, special-defense=55, speed=45"
49,venomoth,158,15,125,"bug, poison","shield-dust, tinted-lens, wonder-skin","razor-wind, gust, whirlwind, headbutt, tackle","hp=70, attack=65, defense=60, special-attack=90, special-defense=75, speed=90"
50,diglett,53,2,8,ground,"sand-veil, arena-trap, sand-force","scratch, swords-dance, cut, sand-attack, headbutt","hp=10, attack=55, defense=25, special-attack=35, special-defense=45, speed=95"
51,dugtrio,149,7,333,ground,"sand-veil, arena-trap, sand-force","scratch, swords-dance, cut, sand-attack, headbutt","hp=35, attack=100, defense=50, special-attack=50, special-defense=70, speed=120"
52,meowth,58,4,42,normal,"pickup, technician, unnerve","pay-day, scratch, cut, headbutt, body-slam","hp=40, attack=45, defense=35, special-attack=40, special-defense=40, speed=90"
53,persian,154,10,320,normal,"limber, technician, unnerve","pay-day, scratch, cut, headbutt, body-slam","hp=65, attack=70, defense=60, special-attack=65, special-defense=65, speed=115"
54,psyduck,64,8,196,water,"damp, cloud-nine, swift-swim","mega-punch, pay-day, ice-punch, scratch, mega-kick","hp=50, attack=52, defense=48, special-attack=65, special-defense=50, speed=55"
55,golduck,175,17,766,water,"damp, cloud-nine, swift-swim","mega-punch, pay-day, ice-punch, scratch, mega-kick","hp=80, attack=82, defense=78, special-attack=95, special-defense=80, speed=85"
56,mankey,61,5,280,fighting,"vital-spirit, anger-point, defiant","karate-chop, mega-punch, pay-day, fire-punch, ice-punch","hp=40, attack=80, defense=35, special-attack=35, special-defense=45, speed=70"
57,primeape,159,10,320,fighting,"vital-spirit, anger-point, defiant","karate-chop, mega-punch, pay-day, fire-punch, ice-punch","hp=65, attack=105, defense=60, special-attack=60, special-defense=70, speed=95"
